"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Storage Media","Group","Group Description","usageType","operation","Alarm Type","Database Engine Type","Instance Configuration Type","Logs Destination","OTel_Type","Region Code","Retention","serviceName","Type","Type Description","Version"
"2256CUTB2R8YY5RK","JRTCKXETXF","2256CUTB2R8YY5RK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002303 per vCPU-Hour for first month retention monitored by Database Insights (Standard Mode) for RDS SQL Server Provisioned in EU (Milan)","2026-08-01","0","Inf","vCPU-Hours","0.0023030000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","EU (Milan)","AWS Region",,,,"EUS1-CW:DatabaseInsights-Standard-FMR-vCPU-Hours","RDS-SQLServer:Provisioned",,"RDS SQL Server","Provisioned",,,"eu-south-1","FMR","AmazonCloudWatch",,,
"22982JCS3SFJKUVZ","JRTCKXETXF","22982JCS3SFJKUVZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.025 per million Events for CW:ContributorInsightEvents in EU (Frankfurt)","2026-08-01","0","Inf","Events","0.0000000250","USD","P2RPRQDEQ5Z55MMA",,"AmazonCloudWatch","EU (Frankfurt)","AWS Region",,"Event-CloudWatchLog","CloudWatch Contributor Insights Matched Events","EUC1-CW:ContributorInsightEvents","",,,,,,"eu-central-1",,"AmazonCloudWatch",,,
"22FGTH8FQQHP5BWM","JRTCKXETXF","22FGTH8FQQHP5BWM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per rule per month for CW-Rule-CloudWatchLog in EU (Milan)","2026-08-01","0","Inf","rule","0.5000000000","USD","T99MVKTB336VE4JV","Contributor Insights","AmazonCloudWatch","EU (Milan)","AWS Region",,"Rule-CloudWatchLog","CloudWatch Contributor Insights Rule","EUS1-CW:ContributorInsightRules","CloudWatchLogs",,,,,,"eu-south-1",,"AmazonCloudWatch",,,
"22G82KX7ES5KTUC6","JRTCKXETXF","22G82KX7ES5KTUC6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0014 per Run for CloudWatch Synthetics Canaries in Asia Pacific (Thailand)","2026-08-01","0","Inf","Runs","0.0014000000","USD","CCC6XKS9YEDWTEX3","Canaries","AmazonCloudWatch","Asia Pacific (Thailand)","AWS Region",,"CW-Canaries","CloudWatch Synthetics Canaries","APS9-CW:Canary-runs","",,,,,,"ap-southeast-7",,"AmazonCloudWatch",,,
"22PYPNHZFW97E48U","JRTCKXETXF","22PYPNHZFW97E48U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.006 per GB-Mo for TimedStorage-AIA-ByteHrs in Asia Pacific (Thailand)","2026-08-01","0","Inf","GB-Mo","0.0060000000","USD","6XTVPDAM3VF25UTA","Storage Snapshot","AmazonCloudWatch","Asia Pacific (Thailand)","AWS Region",,,,"APS9-TimedStorage-AIA-ByteHrs","",,,,,,"ap-southeast-7",,"AmazonCloudWatch",,,"Current AIA"
"22RDCR2CGPGYFAET","JRTCKXETXF","22RDCR2CGPGYFAET.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0056 per GB-Mo for TimedStorage-AIA-ByteHrs in EU (Stockholm)","2026-08-01","0","Inf","GB-Mo","0.0056000000","USD","6XTVPDAM3VF25UTA","Storage Snapshot","AmazonCloudWatch","EU (Stockholm)","AWS Region",,,,"EUN1-TimedStorage-AIA-ByteHrs","",,,,,,"eu-north-1",,"AmazonCloudWatch",,,"Current AIA"
"23KYR9JGZ2VY4UFS","JRTCKXETXF","23KYR9JGZ2VY4UFS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per vCPU-Hour monitored by Database Insights for Aurora-PostgreSQL provisioned databases in US East (N. Virginia)","2026-08-01","0","Inf","vCPU-Hours","0.0125000000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","US East (N. Virginia)","AWS Region",,"CW-DatabaseInsights","Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases","USE1-CW:DatabaseInsights-vCPU-Hours","Aurora-PostgreSQL:Provisioned",,"Aurora-PostgreSQL","Provisioned",,,"us-east-1",,"AmazonCloudWatch",,,
"23QX7TWSUP4VZBE6","JRTCKXETXF","23QX7TWSUP4VZBE6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per thousand Metrics Requested using GetInsightRuleReport API in Asia Pacific (New Zealand)","2026-08-01","0","Inf","Metrics","0.0000100000","USD",,"API Request","AmazonCloudWatch","Asia Pacific (New Zealand)","AWS Region",,"CW-Requests","CloudWatch Contributor Insights API Requests","APS8-CW:GIRR-Metrics","GetInsightRuleReport",,,,,,"ap-southeast-6",,"AmazonCloudWatch",,,
"23RTUM8YNJ5KN45S","JRTCKXETXF","23RTUM8YNJ5KN45S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00262 per vCPU-Hour for first month retention monitored by Database Insights (Standard Mode) for Aurora-PostgreSQL Provisioned in Africa (Cape Town)","2026-08-01","0","Inf","vCPU-Hours","0.0026200000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","Africa (Cape Town)","AWS Region",,,,"AFS1-CW:DatabaseInsights-Standard-FMR-vCPU-Hours","Aurora-PostgreSQL:Provisioned",,"Aurora-PostgreSQL","Provisioned",,,"af-south-1","FMR","AmazonCloudWatch",,,
"23SCYNWWWZHNR44M","JRTCKXETXF","23SCYNWWWZHNR44M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per vCPU-Hour monitored by Database Insights for RDS PostgreSQL provisioned databases in US West (Oregon)","2026-08-01","0","Inf","vCPU-Hours","0.0125000000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","US West (Oregon)","AWS Region",,"CW-DatabaseInsights","Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases","USW2-CW:DatabaseInsights-vCPU-Hours","RDS-PostgreSQL:Provisioned",,"RDS PostgreSQL","Provisioned",,,"us-west-2",,"AmazonCloudWatch",,,
