"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Volume Type","Group","Group Description","usageType","operation","Region Code","serviceName","TableClass"
"222RXP75TCN6HS9K","JRTCKXETXF","222RXP75TCN6HS9K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00000024 per DynamoDB Streams read request unit (GovCloud (US))","2026-07-01","0","Inf","Requests","0.0000002400","USD",,,,"API Request","AmazonDynamoDB","AWS GovCloud (US-West)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","UGW1-Streams-Requests","GetRecords","us-gov-west-1","Amazon DynamoDB",
"23M9NM8HVN35P59A","JRTCKXETXF","23M9NM8HVN35P59A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00239 per GB of vector data searched in Asia Pacific (New Zealand)","2026-07-01","0","Inf","GB","0.0023900000","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","Asia Pacific (New Zealand)","AWS Region",,,,"APS8-VectorSearch","","ap-southeast-6","Amazon DynamoDB","Standard"
"23V3QTMTUU9GTUT5","JRTCKXETXF","23V3QTMTUU9GTUT5.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.10 per GB-Month for TimedBackupStorage-ByteHrs in EU (Stockholm)","2026-07-01","0","Inf","GB-Month","0.1000000000","USD",,,,"Amazon DynamoDB On-Demand Backup Storage","AmazonDynamoDB","EU (Stockholm)","AWS Region","Amazon DynamoDB - On-Demand Backup Storage",,,"EUN1-TimedBackupStorage-ByteHrs","","eu-north-1","Amazon DynamoDB",
"23YD79DRF2CMV2ME","JRTCKXETXF","23YD79DRF2CMV2ME.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.172 per million IA write request units in South America (Sao Paulo)","2026-07-01","0","Inf","WriteRequestUnits","0.0000011720","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-WriteUnitsIA","DynamoDB PayPerRequest Write Request Units IA","SAE1-IA-WriteRequestUnits","PayPerRequestThroughput","sa-east-1","Amazon DynamoDB",
"249CM94YJ6E2JHV8","JRTCKXETXF","249CM94YJ6E2JHV8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.7375 per GB of IA vector write requests in Europe (Spain)","2026-07-01","0","Inf","GB","0.7375000000","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","Europe (Spain)","AWS Region",,,,"EUS2-IA-VectorWriteRequest","","eu-south-2","Amazon DynamoDB",
"27PU8VNH2D3KDTZG","JRTCKXETXF","27PU8VNH2D3KDTZG.JRTCKXETXF.HBHVWY47CM","OnDemand","$0.00 per hour for 25 units of read capacity for a month (free tier)","2026-07-01","0","18600","ReadCapacityUnit-Hrs","0.0000000000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","SAE1-ReadCapacityUnit-Hrs","CommittedThroughput","sa-east-1","Amazon DynamoDB",
"27PU8VNH2D3KDTZG","JRTCKXETXF","27PU8VNH2D3KDTZG.JRTCKXETXF.E63J5HTPNN","OnDemand","$0.000195 per hour for units of read capacity beyond the free tier","2026-07-01","18600","Inf","ReadCapacityUnit-Hrs","0.0001950000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","SAE1-ReadCapacityUnit-Hrs","CommittedThroughput","sa-east-1","Amazon DynamoDB",
"27PU8VNH2D3KDTZG","VG8YD49WWM","27PU8VNH2D3KDTZG.VG8YD49WWM.6YS6EN2CT7","Reserved","Amazon DynamoDB, Reserved Read Capacity used this month","2026-08-04","0","Inf","ReadCapacityUnit-Hrs","0.0000240000","USD","3yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","SAE1-ReadCapacityUnit-Hrs","CommittedThroughput","sa-east-1","Amazon DynamoDB",
"27PU8VNH2D3KDTZG","VG8YD49WWM","27PU8VNH2D3KDTZG.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2026-08-04",,,"Quantity","0.54","USD","3yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","SAE1-ReadCapacityUnit-Hrs","CommittedThroughput","sa-east-1","Amazon DynamoDB",
"27PU8VNH2D3KDTZG","YTVHEVGPBZ","27PU8VNH2D3KDTZG.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Amazon DynamoDB, Reserved Read Capacity used this month","2026-08-04","0","Inf","ReadCapacityUnit-Hrs","0.0000380000","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","SAE1-ReadCapacityUnit-Hrs","CommittedThroughput","sa-east-1","Amazon DynamoDB",
"27PU8VNH2D3KDTZG","YTVHEVGPBZ","27PU8VNH2D3KDTZG.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2026-08-04",,,"Quantity","0.45","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","South America (Sao Paulo)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","SAE1-ReadCapacityUnit-Hrs","CommittedThroughput","sa-east-1","Amazon DynamoDB",
