"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Tenancy","usageType","operation","CapabilityType","CPUType","EKSCapabilityUnits","EKSProductType","InstanceType","MemoryType","Region Code","serviceName","StorageType","TierType"
"2225WGUCQCD4SD39","JRTCKXETXF","2225WGUCQCD4SD39.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.26389 per hour for EKS Auto Mode management of c8g.12xlarge in Asia Pacific (Jakarta)","2026-08-01","0","Inf","hours","0.2638900000","USD","Compute","AmazonEKS","Asia Pacific (Jakarta)","AWS Region",,"APS4-EKS-Auto:c8g.12xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","c8g.12xlarge",,"ap-southeast-3","Amazon Elastic Container Service for Kubernetes",,
"224WR9W8BGJDMYRM","JRTCKXETXF","224WR9W8BGJDMYRM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.08592 per hour for EKS Auto Mode management of r5n.2xlarge in AWS GovCloud (US-East)","2026-08-01","0","Inf","hours","0.0859200000","USD","Compute","AmazonEKS","AWS GovCloud (US-East)","AWS Region",,"UGE1-EKS-Auto:r5n.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r5n.2xlarge",,"us-gov-east-1","Amazon Elastic Container Service for Kubernetes",,
"2267YPQQMJBUZ3TH","JRTCKXETXF","2267YPQQMJBUZ3TH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03411 per hour for EKS Auto Mode management of r8g.xlarge in Asia Pacific (Tokyo)","2026-08-01","0","Inf","hours","0.0341100000","USD","Compute","AmazonEKS","Asia Pacific (Tokyo)","AWS Region",,"APN1-EKS-Auto:r8g.xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r8g.xlarge",,"ap-northeast-1","Amazon Elastic Container Service for Kubernetes",,
"226RCK563VCN8ZMR","JRTCKXETXF","226RCK563VCN8ZMR.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - vCPU - Africa (Cape Town","2026-08-01","0","Inf","hours","0.0546000000","USD","Compute","AmazonEKS","Africa (Cape Town)","AWS Region","Shared","AFS1-Fargate-vCPU-Hours:perCPU","",,"perCPU",,,,,"af-south-1","Amazon Elastic Container Service for Kubernetes",,
"227N2897YU8GE686","JRTCKXETXF","227N2897YU8GE686.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.29244 per hour for EKS Auto Mode management of d3.4xlarge in EU (Ireland)","2026-08-01","0","Inf","hours","0.2924400000","USD","Compute","AmazonEKS","EU (Ireland)","AWS Region",,"EU-EKS-Auto:d3.4xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","d3.4xlarge",,"eu-west-1","Amazon Elastic Container Service for Kubernetes",,
"22C9DRWMRWDBF7Q2","JRTCKXETXF","22C9DRWMRWDBF7Q2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02155 per hour for EKS Auto Mode management of r7gd.large in Africa (Cape Town)","2026-08-01","0","Inf","hours","0.0215500000","USD","Compute","AmazonEKS","Africa (Cape Town)","AWS Region",,"AFS1-EKS-Auto:r7gd.large-management-hours","EKSAutoUsage",,,,"AutoMode","r7gd.large",,"af-south-1","Amazon Elastic Container Service for Kubernetes",,
"22F7BG8WAFEAMYKX","JRTCKXETXF","22F7BG8WAFEAMYKX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.65088 per hour for EKS Auto Mode management of z1d.12xlarge in Asia Pacific (Sydney)","2026-08-01","0","Inf","hours","0.6508800000","USD","Compute","AmazonEKS","Asia Pacific (Sydney)","AWS Region",,"APS2-EKS-Auto:z1d.12xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","z1d.12xlarge",,"ap-southeast-2","Amazon Elastic Container Service for Kubernetes",,
"22FTXT28H25FUMM3","JRTCKXETXF","22FTXT28H25FUMM3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05148 per hour for EKS Auto Mode management of c7i.2xlarge in Middle East (UAE)","2026-08-01","0","Inf","hours","0.0514800000","USD","Compute","AmazonEKS","Middle East (UAE)","AWS Region",,"MEC1-EKS-Auto:c7i.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","c7i.2xlarge",,"me-central-1","Amazon Elastic Container Service for Kubernetes",,
"22JW7JEEMGMDAQWB","JRTCKXETXF","22JW7JEEMGMDAQWB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.22322 per hour for EKS Auto Mode management of m8i-flex.8xlarge in EU (London)","2026-08-01","0","Inf","hours","0.2232200000","USD","Compute","AmazonEKS","EU (London)","AWS Region",,"EUW2-EKS-Auto:m8i-flex.8xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m8i-flex.8xlarge",,"eu-west-2","Amazon Elastic Container Service for Kubernetes",,
"22NYY9T8ZV56APPZ","JRTCKXETXF","22NYY9T8ZV56APPZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01613 per hour for EKS Auto Mode management of c6in.large in EU (Paris)","2026-08-01","0","Inf","hours","0.0161300000","USD","Compute","AmazonEKS","EU (Paris)","AWS Region",,"EUW3-EKS-Auto:c6in.large-management-hours","EKSAutoUsage",,,,"AutoMode","c6in.large",,"eu-west-3","Amazon Elastic Container Service for Kubernetes",,
"22PAJ7YPSBCQ863M","JRTCKXETXF","22PAJ7YPSBCQ863M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.37164 per hour for EKS Auto Mode management of r8g.12xlarge in Canada (Central)","2026-08-01","0","Inf","hours","0.3716400000","USD","Compute","AmazonEKS","Canada (Central)","AWS Region",,"CAN1-EKS-Auto:r8g.12xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r8g.12xlarge",,"ca-central-1","Amazon Elastic Container Service for Kubernetes",,
"22PFNRCKJ4SF79GE","JRTCKXETXF","22PFNRCKJ4SF79GE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.29254 per hour for EKS Auto Mode management of m8g.48xlarge in Asia Pacific (Melbourne)","2026-08-01","0","Inf","hours","1.2925400000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-EKS-Auto:m8g.48xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m8g.48xlarge",,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"22ST7HN4RDQ9WR5B","JRTCKXETXF","22ST7HN4RDQ9WR5B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04285 per hour for EKS Auto Mode management of t3a.2xlarge in US West (N. California)","2026-08-01","0","Inf","hours","0.0428500000","USD","Compute","AmazonEKS","US West (N. California)","AWS Region",,"USW1-EKS-Auto:t3a.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","t3a.2xlarge",,"us-west-1","Amazon Elastic Container Service for Kubernetes",,
"22SUK446RTMYQYN2","JRTCKXETXF","22SUK446RTMYQYN2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06384 per hour for EKS Auto Mode management of r4.2xlarge in US West (Oregon)","2026-08-01","0","Inf","hours","0.0638400000","USD","Compute","AmazonEKS","US West (Oregon)","AWS Region",,"USW2-EKS-Auto:r4.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r4.2xlarge",,"us-west-2","Amazon Elastic Container Service for Kubernetes",,
"22UTR6K9XVW9UM3V","JRTCKXETXF","22UTR6K9XVW9UM3V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04848 per hour for EKS Auto Mode management of r5n.xlarge in Asia Pacific (Hong Kong)","2026-08-01","0","Inf","hours","0.0484800000","USD","Compute","AmazonEKS","Asia Pacific (Hong Kong)","AWS Region",,"APE1-EKS-Auto:r5n.xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r5n.xlarge",,"ap-east-1","Amazon Elastic Container Service for Kubernetes",,
"22V49JERHXXJ2UNX","JRTCKXETXF","22V49JERHXXJ2UNX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.63722 per hour for EKS Auto Mode management of r8g.48xlarge in Asia Pacific (Seoul)","2026-08-01","0","Inf","hours","1.6372200000","USD","Compute","AmazonEKS","Asia Pacific (Seoul)","AWS Region",,"APN2-EKS-Auto:r8g.48xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r8g.48xlarge",,"ap-northeast-2","Amazon Elastic Container Service for Kubernetes",,
